Energy_Consumption_Reduction,Waste_Management,Utilization_Of_Alternative_Materials,Soil_Preservation(m^3),Renewable_Energy_Utilization(MW),Water_Demand_Reduction(Building),Waste_Demand_Reduction(Landscape),Waste_Water_Treatment(KLD),Social_Benefits,VOC/Lead Free Paints,EPI(Energy Performance Index),Daylight_Factor,EPR(Energy performane Reduction),Air_Pollution_Control,Building Performance(kWh /sqm/year),Water_Consumption_in_building(KL/annum),Renewable_Energy_REC(kWH/annum),Green_Rating
62,1,35,42,3.5,73,25.63,25,1,1,55.5,66.455,43.16,1,101.26,0,41,3
84,1,43.86,8,0.055,44.25,52.25,13,1,1,55.5,66.455,43.16,1,101.26,0,41,4
19,1,43.86,8,0.03,30,52.25,13,1,1,55.5,66.455,43.16,1,101.26,0,41,3
84,1,24.64,8,0.055,50.16,52.25,13,1,1,55.5,66.455,43.16,1,101.26,0,41,3
84,1,30.47,8,0.055,55.52,52.25,13,1,1,55.5,66.455,43.16,1,101.26,0,41,5
41,1,15,8,0.05,60.57,52.25,13,0,1,55.5,66.455,43.16,1,101.26,0,41,3
76,1,30,8,46.014,99,52.25,13,0,1,44.18,75.43,55.82,1,101.26,0,41,5
89,1,15,32,0.015,62.32,54,13,0,1,98.8,51.25,43.16,1,101.26,0,41,4
86,1,34.4,8,0.1,54,40,13,1,1,52.57,75,53.2,1,82.04,25,41,5
65,1,60,11,0.23,60.5,82.5,13,1,1,66.18,25,43.16,1,101.26,0,41,5
99,1,15,8,0.01675,53.82,47.28,13,1,1,34.9,52.9,43.16,1,101.26,0,41,4
110,1,43.86,8,0.005,56.69,60.6,13,1,1,31,66.455,43.16,1,101.26,0,41,4
97,1,34.4,8,0.01675,56.61,53.8,13,1,1,34.9,52.9,43.16,1,101.26,0,41,4
59,1,73.17,8,0.136,66.31,52.25,13,1,1,67.04,34,43.16,1,101.26,0,32,5
44,1,43.86,8,0.015,64.4,52.25,13,1,1,287.99,54,43.16,1,101.26,0,41,5
21,1,83.5,8,0.055,59.45,52.25,13,1,1,83.52,60.96,30.57,1,83.19,47,41,5
22,1,43.86,8,0.055,56.69,53.8,13,1,1,58.7,68.5,43.16,1,101.26,64,41,5
84,4,100,36,0.008,61.02,32.64,13,1,1,55.5,90.51,43.16,1,101.26,0,41,4
84,1,100,9,0.025,51.97,32.74,13,1,1,55.5,91.73,43.16,1,101.26,0,41,5
31,1,100,19,0.0104,70.65,90,13,1,1,57.46,25,36,1,57.46,61,41,3
37,1,85,8,0.04,44.98,52.25,13,1,1,83.7,0.625,40.2,1,83.7,26,41,3
84,1,43.86,23,0.01,57.57,94.58,13,1,1,55.5,66.455,43.16,1,101.26,0,41,5
84,1,65,18,0.09,38.02,52.25,10,1,1,53.3,66.455,43.16,1,101.26,0,41,3
61,4,43.86,13,0.055,75.45,67.78,23,1,1,55.5,66.455,43.16,1,101.26,0,41,3
84,1,100,21,0.003,27.14,79.01,13,1,1,55.5,66.455,43.16,1,101.26,0,41,4
84,1,43.86,29,0.15,47.14,52.25,13,1,1,55.5,66.455,43.16,1,101.26,14,14,3
84,1,100,24,0.02,71.66,26.9,13,1,1,55.5,57.67,43.16,1,101.26,0,41,3
84,4,100,30,0.055,64.52,55.72,21,1,1,55.5,61.2,43.16,1,101.26,0,41,4
68,4,60,8,0.03,34.63,52.25,13,1,1,55.5,86,53.7,1,101.26,0,41,4
7,1,43.86,8,0.07,30.95,64.8,13,1,1,55.5,66.455,34,1,101.26,65,41,4
7,1,43.86,8,0.07,30.95,64.8,13,1,1,55.5,104,34,1,101.26,0,41,4
84,1,43.86,8,27.14,79.01,52.25,13,1,1,55.5,66.455,43.16,1,101.26,0,41,4
33,1,43.86,8,0.5,30,52.25,13,1,1,55.5,66.455,43.16,1,101.26,0,41,5
97,1,34.4,8,0.01675,56.61,53.8,13,1,1,55.5,66.455,34.9,1,101.26,0,41,4
102,1,43.86,8,0.01584,69.18,79.7,13,1,1,55.5,66.455,4740,1,101.26,0,41,4
84,1,30,8,0.04,50.6,49.3,13,1,1,34.9,52.9,35.67,0,224.61,43,69,4
54,1,100,24,0.06,38.6,53.86,24,1,1,55.5,51,17.43,1,89.62,11,60,4
54,1,100,24,0.06,38.6,53.86,24,1,1,55.5,51,58.72,1,174.45,18,45,4
49,1,30,4,0.36,30.95,53.8,18,1,1,19.9,85,59.97,1,136.18,8,42,4
54,1,100,24,0.06,38.6,53.86,24,1,1,55.5,51,38,1,219.88,48,52,4
54,1,100,24,0.06,38.6,53.86,24,1,1,55.5,51,26.72,1,52.01,42,70,4
84,1,30,8,0.04,50.6,49.3,13,1,1,34.9,52.9,22.7,1,257.96,45,35,4
54,1,100,24,0.06,38.6,53.86,24,1,1,55.5,51,30.51,0,139.59,7,58,4
49,1,30,4,0.36,30.95,53.8,18,1,1,19.9,85,49.55,1,247.81,51,54,4
84,1,30,8,0.04,50.6,49.3,13,1,1,34.9,52.9,29.21,1,231.93,39,23,4
63,1,43.86,8,0.055,52.44,53,13,2,1,55.5,66.455,43.39,1,133.21,16,61,4
84,1,30,8,0.04,50.6,49.3,13,1,1,34.9,52.9,19.29,0,137.35,20,46,4
84,4,45.87,8,0.005,65.49,52.25,13,1,1,55.5,96.6,43.16,1,101.26,0,41,5
112,1,88.54,8,0.03,50.98,52.25,13,1,1,78.86,44.55,78.86,1,101.26,0,63,3
93,3,100,25,0.003,38.6,2,13,1,1,55.5,66.455,43.16,1,101.26,0,41,4
67,1,212,8,0.05,54.88,52.65,13,1,1,53.5,82.5,53.5,1,101.26,0,68,4
4,1,43.86,8,0.055,52.44,52.25,13,1,1,55.5,66.455,68273.5,1,101.26,0,41,2
9,1,43.86,8,0.004,68.8,40.67,13,1,1,55.5,801,43.16,1,101.26,0,41,4
84,1,43.86,8,0.055,52.44,52.25,13,1,1,55.5,66.455,43.16,1,101.26,0,41,4
84,1,43.86,8,0.055,52.44,52.25,13,1,1,55.5,66.455,43.16,1,101.26,0,41,4
63,1,100,19,0.0625,53.65,53,9,1,1,56.03,25,10.27,1,72.02,49,21,3
72,1,100,36,0.03,55.52,35.87,13,1,1,50.3,60.96,21.14,0,87.38,32,15,2
84,1,30,8,0.04,50.6,49.3,13,1,1,34.9,52.9,30.57,1,240.3,38,71,5
84,1,30,8,0.04,50.6,49.3,13,1,1,34.9,52.9,46.33,1,271.74,50,38,5
